source,target,value,group
School Own,Unspecified Partner,9,female_online
School Own,School Partner,1,female_online
School Own,Vocational Partner,3,female_online
School Own,BA Partner,4,female_online
Voc Own,Unspecified Partner,21,female_online
Voc Own,School Partner,2,female_online
Voc Own,Vocational Partner,4,female_online
Voc Own,BA Partner,9,female_online
Voc Own,PhD Partner,1,female_online
BA Own,Unspecified Partner,77,female_online
BA Own,Vocational Partner,17,female_online
BA Own,BA Partner,67,female_online
BA Own,MA Partner,5,female_online
MA Own,Unspecified Partner,6,female_online
MA Own,Vocational Partner,5,female_online
MA Own,BA Partner,14,female_online
MA Own,MA Partner,2,female_online
PhD Own,Unspecified Partner,1,female_online
PhD Own,BA Partner,2,female_online
Unspecified Own,Unspecified Partner,19,female_offline
Unspecified Own,School Partner,1,female_offline
Unspecified Own,Vocational Partner,1,female_offline
Unspecified Own,BA Partner,5,female_offline
Unspecified Own,MA Partner,1,female_offline
School Own,Unspecified Partner,8,female_offline
School Own,School Partner,1,female_offline
BA Own,Unspecified Partner,25,female_offline
BA Own,School Partner,4,female_offline
BA Own,BA Partner,87,female_offline
BA Own,MA Partner,2,female_offline
MA Own,Unspecified Partner,8,female_offline
MA Own,BA Partner,19,female_offline
MA Own,MA Partner,6,female_offline
PhD Own,Unspecified Partner,2,female_offline
PhD Own,BA Partner,2,female_offline
PhD Own,MA Partner,3,female_offline
Unspecified Own,Unspecified Partner,10,male_online
School Own,Unspecified Partner,34,male_online
School Own,School Partner,5,male_online
Voc Own,Unspecified Partner,20,male_online
Voc Own,School Partner,2,male_online
Voc Own,Vocational Partner,2,male_online
BA Own,Unspecified Partner,113,male_online
BA Own,School Partner,16,male_online
BA Own,Vocational Partner,8,male_online
BA Own,BA Partner,13,male_online
MA Own,Unspecified Partner,16,male_online
MA Own,School Partner,3,male_online
PhD Own,Unspecified Partner,5,male_online
PhD Own,Vocational Partner,1,male_online
PhD Own,BA Partner,2,male_online
Unspecified Own,Unspecified Partner,10,male_offline
Unspecified Own,School Partner,2,male_offline
Unspecified Own,BA Partner,3,male_offline
School Own,Unspecified Partner,13,male_offline
School Own,School Partner,1,male_offline
School Own,BA Partner,1,male_offline
Voc Own,Unspecified Partner,3,male_offline
Voc Own,School Partner,1,male_offline
BA Own,Unspecified Partner,24,male_offline
BA Own,School Partner,2,male_offline
BA Own,BA Partner,14,male_offline
MA Own,Unspecified Partner,2,male_offline
MA Own,BA Partner,2,male_offline
PhD Own,BA Partner,2,male_offline
